Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,B,B2,FI00000225,20,Abitazioni civili,NORMALE,P,2950,3500,L,8.8,11.8,L,2023_1,Firenze,3225.0,10.3
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,B,B5,FI00001135,20,Abitazioni civili,NORMALE,P,3600,4700,L,10.4,13.6,L,2023_1,Firenze,4150.0,12.0
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,B,B6,FI00001136,20,Abitazioni civili,NORMALE,P,3100,4100,L,9.3,12.3,L,2023_1,Firenze,3600.0,10.8
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,B,B7,FI00001137,20,Abitazioni civili,NORMALE,P,2950,3900,L,9.1,12.0,L,2023_1,Firenze,3425.0,10.55
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,B,B8,FI00001138,20,Abitazioni civili,NORMALE,P,3100,4000,L,8.8,11.4,L,2023_1,Firenze,3550.0,10.100000000000001
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,C,C10,FI00001082,20,Abitazioni civili,NORMALE,P,3000,4100,L,8.5,11.6,L,2023_1,Firenze,3550.0,10.05
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,C,C11,FI00001083,20,Abitazioni civili,NORMALE,P,3100,4300,L,8.8,12.2,L,2023_1,Firenze,3700.0,10.5
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,C,C12,FI00001084,20,Abitazioni civili,NORMALE,P,2700,3900,L,7.6,10.8,L,2023_1,Firenze,3300.0,9.2
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,C,C13,FI00001176,20,Abitazioni civili,NORMALE,P,2600,3000,L,8.2,9.4,L,2023_1,Firenze,2800.0,8.8
CENTRO,TOSCANA,FI,9048017,I1AA, ,D612,FIRENZE,C,C14,FI00001177,20,Abitazioni civili,NORMALE,P,2350,2850,L,7.5,9.5,L,2023_1,Firenze,2600.0,8.5
