Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,20,Abitazioni civili,OTTIMO, ,9500,13200,L,29.8,40.0,L,2023_1,Milano,11350.0,34.9
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B12,MI00003228,20,Abitazioni civili,NORMALE,P,7500,9400,L,24.0,29.7,L,2023_1,Milano,8450.0,26.85
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,20,Abitazioni civili,OTTIMO, ,6900,9000,L,21.5,28.0,L,2023_1,Milano,7950.0,24.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B13,MI00003232,20,Abitazioni civili,NORMALE,P,5800,6800,L,17.5,21.0,L,2023_1,Milano,6300.0,19.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,20,Abitazioni civili,OTTIMO, ,8700,13000,L,25.1,36.5,L,2023_1,Milano,10850.0,30.8
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B15,MI00003544,20,Abitazioni civili,NORMALE,P,7500,8600,L,21.0,25.0,L,2023_1,Milano,8050.0,23.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,20,Abitazioni civili,OTTIMO, ,8600,10500,L,24.0,31.0,L,2023_1,Milano,9550.0,27.5
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B16,MI00003545,20,Abitazioni civili,NORMALE,P,6400,8500,L,17.5,23.5,L,2023_1,Milano,7450.0,20.5
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,20,Abitazioni civili,OTTIMO, ,7200,10200,L,18.5,24.0,L,2023_1,Milano,8700.0,21.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B17,MI00004767,20,Abitazioni civili,NORMALE,P,4800,7100,L,14.5,18.4,L,2023_1,Milano,5950.0,16.45
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,20,Abitazioni civili,OTTIMO, ,8100,11500,L,23.1,32.5,L,2023_1,Milano,9800.0,27.8
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B18,MI00004768,20,Abitazioni civili,NORMALE,P,5900,8000,L,17.0,23.0,L,2023_1,Milano,6950.0,20.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,20,Abitazioni civili,OTTIMO, ,8200,10500,L,21.1,29.0,L,2023_1,Milano,9350.0,25.05
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B19,MI00004769,20,Abitazioni civili,NORMALE,P,5800,8100,L,15.5,21.0,L,2023_1,Milano,6950.0,18.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,20,Abitazioni civili,OTTIMO, ,6600,8500,L,20.1,27.0,L,2023_1,Milano,7550.0,23.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B20,MI00004770,20,Abitazioni civili,NORMALE,P,4700,6500,L,15.0,20.0,L,2023_1,Milano,5600.0,17.5
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,20,Abitazioni civili,OTTIMO, ,6000,7800,L,17.0,23.0,L,2023_1,Milano,6900.0,20.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,B,B21,MI00004771,20,Abitazioni civili,NORMALE,P,4400,6000,L,12.4,16.9,L,2023_1,Milano,5200.0,14.649999999999999
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,20,Abitazioni civili,NORMALE,P,4800,6300,L,15.3,22.0,L,2023_1,Milano,5550.0,18.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C12,MI00000307,20,Abitazioni civili,OTTIMO, ,6400,8500,L,22.1,27.0,L,2023_1,Milano,7450.0,24.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C13,MI00003667,20,Abitazioni civili,OTTIMO,P,9000,11500,L,23.5,35.0,L,2023_1,Milano,10250.0,29.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,20,Abitazioni civili,NORMALE, ,3600,5600,L,11.5,18.0,L,2023_1,Milano,4600.0,14.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C14,MI00003668,20,Abitazioni civili,OTTIMO,P,9300,14000,L,27.3,42.0,L,2023_1,Milano,11650.0,34.65
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,20,Abitazioni civili,OTTIMO, ,5000,6700,L,17.1,22.5,L,2023_1,Milano,5850.0,19.8
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C15,MI00003669,20,Abitazioni civili,NORMALE,P,3200,4900,L,11.5,17.0,L,2023_1,Milano,4050.0,14.25
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,NORMALE,P,3600,4800,L,9.0,13.0,L,2023_1,Milano,4200.0,11.0
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C16,MI00004772,20,Abitazioni civili,OTTIMO, ,4900,7500,L,13.1,22.0,L,2023_1,Milano,6200.0,17.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,OTTIMO, ,6000,8500,L,15.6,23.5,L,2023_1,Milano,7250.0,19.55
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C17,MI00004773,20,Abitazioni civili,NORMALE,P,4500,5900,L,12.0,15.5,L,2023_1,Milano,5200.0,13.75
NORD-OVEST,LOMBARDIA,MI,3015146,C1AA, ,F205,MILANO,C,C18,MI00004774,20,Abitazioni civili,OTTIMO, ,5700,7800,L,16.6,24.0,L,2023_1,Milano,6750.0,20.3
