Area_territoriale,Regione,Prov,Comune_ISTAT,Comune_cat,Sez,Comune_amm,Comune_descrizione,Fascia,Zona,LinkZona,Cod_Tip,Descr_Tipologia,Stato,Stato_prev,Compr_min,Compr_max,Sup_NL_compr,Loc_min,Loc_max,Sup_NL_loc,semestre,city,compr_medio,loc_medio
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B1,RM00000155,20,Abitazioni civili,NORMALE,P,3600,5300,L,13.0,18.8,L,2023_1,Roma,4450.0,15.9
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B12,RM00000158,20,Abitazioni civili,NORMALE,P,4900,7200,L,16.3,24.3,L,2023_1,Roma,6050.0,20.3
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B13,RM00000159,20,Abitazioni civili,NORMALE,P,6000,8400,L,16.3,24.0,L,2023_1,Roma,7200.0,20.15
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B14,RM00000160,20,Abitazioni civili,NORMALE,P,4600,6500,L,15.8,22.8,L,2023_1,Roma,5550.0,19.3
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B15,RM00000161,20,Abitazioni civili,NORMALE,P,4300,6300,L,13.3,19.5,L,2023_1,Roma,5300.0,16.4
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B17,RM00000163,20,Abitazioni civili,NORMALE,P,4200,5900,L,11.5,17.0,L,2023_1,Roma,5050.0,14.25
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B18,RM00000164,20,Abitazioni civili,NORMALE,P,2750,3900,L,10.3,14.5,L,2023_1,Roma,3325.0,12.4
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B2,RM00000166,20,Abitazioni civili,NORMALE,P,4200,6100,L,14.3,20.8,L,2023_1,Roma,5150.0,17.55
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B25,RM00000170,20,Abitazioni civili,NORMALE,P,4700,6600,L,15.8,22.3,L,2023_1,Roma,5650.0,19.05
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B29,RM00001064,20,Abitazioni civili,NORMALE,P,3900,5600,L,13.8,19.8,L,2023_1,Roma,4750.0,16.8
CENTRO,LAZIO,RM,12058091,M1AA, ,H501,ROMA,B,B3,RM00000171,20,Abitazioni civili,NORMALE,P,4100,5900,L,13.8,19.8,L,2023_1,Roma,5000.0,16.8
