Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2023/1 - elaborazione del 05-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;'LUNGARNO - DONATELLO - BECCARIA - LIBERTA';B2;FI00000225;20;Abitazioni civili;N;2;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;'CENTRO STORICO (SIGNORIA - DUOMO - PITTI - SAN NICCOLO)';B5;FI00001135;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;'CENTRO STORICO (STAZIONE CENTRALE - SAN LORENZO - SANT`AMBROGIO)';B6;FI00001136;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;'CENTRO STORICO (VIALI - LUNGARNO VESPUCCI - LUNGARNO DELLA ZECCA VECCHIA)';B7;FI00001137;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;'CENTRO STORICO (SAN FREDIANO - PORTA ROMANA)';B8;FI00001138;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'BOBOLINO - POGGIO IMPERIALE - PIAN DEI GIULLARI';C10;FI00001082;20;Abitazioni civili;N;4;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'MARIGNOLLE - MONTE OLIVETO - LE CAMPORA';C11;FI00001083;20;Abitazioni civili;N;6;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'LA PIETRA - CAMERATA';C12;FI00001084;20;Abitazioni civili;N;12;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'PIAZZA FERRUCCI - RICORBOLI - BANDINO - VIALE EUROPA - ANCONELLA';C13;FI00001176;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'PIGNONE - LEGNAIA - SOFFIANO - MONTICELLI';C14;FI00001177;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'ISOLOTTO';C15;FI00001178;20;Abitazioni civili;N;0;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'SAN JACOPINO - PONTE ALLE MOSSE - CASCINE';C2;FI00000027;20;Abitazioni civili;N;9;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'DALMAZIA - ROMITO';C3;FI00000028;20;Abitazioni civili;N;10;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'POGGETTO - STATUTO - PONTE ROSSO';C4;FI00000228;20;Abitazioni civili;N;11;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'LE CURE';C5;FI00000229;20;Abitazioni civili;N;13;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'CAMPO DI MARTE';C6;FI00000230;20;Abitazioni civili;N;14;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'MADONNONE - SAN SALVI - BELLARIVA';C7;FI00000231;20;Abitazioni civili;N;15;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;C;'COVERCIANO';C9;FI00000233;20;Abitazioni civili;N;26;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;'CAREGGI - CERCINA - TRESPIANO';D10;FI00000241;20;Abitazioni civili;N;25;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;'VARLUNGO - ROVEZZANO';D11;FI00000242;20;Abitazioni civili;N;27;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;'CUPOLINA - OSMANNORO';D12;FI00000243;8;Capannoni industriali;N;29;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;'SETTIGNANO';D13;FI00001085;20;Abitazioni civili;N;30;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;D;'GALLUZZO - LE DUE STRADE - SAN GAGGIO';D14;FI00001175;20;Abitazioni civili;N;0;
