Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 04-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B1;RM00000155;20;Abitazioni civili;NORMALE;P;4100;5900;L;14,8;21,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B1;RM00000155;21;Abitazioni di tipo economico;NORMALE;P;3500;5200;L;12;17,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B1;RM00000155;13;Box;NORMALE;P;2350;3400;L;9;13;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B1;RM00000155;5;Negozi;NORMALE;P;2500;3500;L;19,8;27,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B1;RM00000155;10;Laboratori;NORMALE;P;1650;2400;L;12;17,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B12;RM00000158;20;Abitazioni civili;NORMALE;P;4800;6900;L;18,3;26,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B12;RM00000158;19;Abitazioni signorili;NORMALE;P;5400;7800;L;20,3;29,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B12;RM00000158;1;Ville e Villini;NORMALE;P;6100;8800;L;17,3;24,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B12;RM00000158;6;Uffici;NORMALE;P;3700;5500;L;16,5;24,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B13;RM00000159;20;Abitazioni civili;NORMALE;P;5400;7900;L;15,3;22;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B13;RM00000159;19;Abitazioni signorili;NORMALE;P;6000;8800;L;17,3;24,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B13;RM00000159;5;Negozi;NORMALE;P;4400;6200;L;25;35;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B13;RM00000159;6;Uffici;NORMALE;P;4800;6800;L;17;24,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;20;Abitazioni civili;NORMALE;P;4600;6300;L;16;23;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;19;Abitazioni signorili;NORMALE;P;5200;7100;L;18;26;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;13;Box;NORMALE;P;2600;3600;L;10,3;14,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;5;Negozi;NORMALE;P;3800;4800;L;24,5;30,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;5;Negozi;OTTIMO; ;4800;6000;L;30,5;38,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;5;Negozi;SCADENTE; ;3100;3800;L;19,8;24,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;6;Uffici;NORMALE;P;3200;4700;L;15,3;22,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B14;RM00000160;10;Laboratori;NORMALE;P;1350;1950;L;9,3;13,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B15;RM00000161;20;Abitazioni civili;NORMALE;P;4800;6800;L;13,5;19,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B15;RM00000161;19;Abitazioni signorili;NORMALE;P;5400;7600;L;15,3;22,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B15;RM00000161;5;Negozi;NORMALE;P;2800;4100;L;22,8;33,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B15;RM00000161;6;Uffici;NORMALE;P;3800;5600;L;14,5;21;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B17;RM00000163;20;Abitazioni civili;NORMALE;P;3800;5500;L;12,5;18,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B17;RM00000163;19;Abitazioni signorili;NORMALE;P;4300;6200;L;14;20,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B17;RM00000163;5;Negozi;NORMALE;P;2600;3700;L;20,5;29,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B17;RM00000163;6;Uffici;NORMALE;P;3100;4400;L;15,8;22;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;20;Abitazioni civili;NORMALE;P;3000;4200;L;10;14,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;13;Box;NORMALE;P;2000;2900;L;8;11,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;5;Negozi;NORMALE;P;2400;3000;L;18,3;24;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;5;Negozi;OTTIMO; ;3000;3800;L;24;29,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;5;Negozi;SCADENTE; ;1900;2400;L;15;18,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;6;Uffici;NORMALE;P;2700;3800;L;12;17;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B18;RM00000164;10;Laboratori;NORMALE;P;1400;2050;L;9,8;14;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B2;RM00000166;20;Abitazioni civili;NORMALE;P;4400;6400;L;16,3;23;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B2;RM00000166;19;Abitazioni signorili;NORMALE;P;4900;7200;L;18,5;26;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B2;RM00000166;1;Ville e Villini;NORMALE;P;5600;8000;L;16;23;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B2;RM00000166;6;Uffici;NORMALE;P;2800;4100;L;15;21,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B25;RM00000170;20;Abitazioni civili;NORMALE;P;4700;6700;L;16,5;24;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B25;RM00000170;19;Abitazioni signorili;NORMALE;P;5300;7500;L;18,5;27;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B25;RM00000170;5;Negozi;NORMALE;P;3300;4700;L;26,8;38;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B25;RM00000170;6;Uffici;NORMALE;P;3900;5800;L;20,5;29;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B29;RM00001064;20;Abitazioni civili;NORMALE;P;4000;5800;L;13,8;20;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B29;RM00001064;19;Abitazioni signorili;NORMALE;P;4500;6500;L;15,5;22,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B29;RM00001064;5;Negozi;NORMALE;P;3300;4900;L;23;34;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B29;RM00001064;6;Uffici;NORMALE;P;3200;4700;L;17;25;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B3;RM00000171;20;Abitazioni civili;NORMALE;P;4000;5700;L;14,8;20,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B3;RM00000171;19;Abitazioni signorili;NORMALE;P;4500;6400;L;16,5;23,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B3;RM00000171;5;Negozi;NORMALE;P;2400;3400;L;19;27,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B3;RM00000171;6;Uffici;NORMALE;P;2700;3900;L;14,5;20,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;20;Abitazioni civili;NORMALE;P;6800;9100;L;18;25;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;19;Abitazioni signorili;NORMALE;P;7600;10200;L;20,5;28;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;13;Box;NORMALE;P;4900;6800;L;18,5;26,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;5;Negozi;NORMALE;P;6000;8000;L;34,5;45,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;5;Negozi;OTTIMO; ;8000;9900;L;45,5;56,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;5;Negozi;SCADENTE; ;5000;6000;L;28,3;34,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B31;RM00003261;6;Uffici;NORMALE;P;5500;8200;L;22,8;32,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;20;Abitazioni civili;NORMALE;P;5900;8200;L;17,5;25;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;19;Abitazioni signorili;NORMALE;P;6600;9200;L;19,8;27,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;13;Box;NORMALE;P;4800;6700;L;17;24,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;5;Negozi;NORMALE;P;5000;6700;L;31,3;42,5;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;5;Negozi;OTTIMO; ;6700;8300;L;42,5;51,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;5;Negozi;SCADENTE; ;4200;5000;L;26;31,3;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B32;RM00003264;6;Uffici;NORMALE;P;4700;6800;L;19;28;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B4;RM00000172;20;Abitazioni civili;NORMALE;P;4700;6900;L;16,5;23,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B4;RM00000172;19;Abitazioni signorili;NORMALE;P;5300;7700;L;18,3;26,8;L;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;B4;RM00000172;13;Box;NORMALE;P;3300;4900;L;13,8;19,8;L;
