Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2023/1 - elaborazione del 04-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'TESTACCIO (PIAZZA S.MARIA LIBERATRICE)';B1;RM00000155;20;Abitazioni civili;N;11;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'AVENTINO (RIPA-VIA DI S.SABINA)';B12;RM00000158;20;Abitazioni civili;N;2;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'SANT`ANGELO-CAMPITELLI (VIA DEL PORTICO D`OTTAVIA)';B13;RM00000159;20;Abitazioni civili;N;1;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'TRASTEVERE (VIA DELLA LUNGARA)';B14;RM00000160;20;Abitazioni civili;N;3;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'BORGO (VIA DELLA CONCILIAZIONE)  ';B15;RM00000161;20;Abitazioni civili;N;4;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'SALLUSTIANO-CASTRO PRETORIO (PIAZZA INDIPENDENZA)';B17;RM00000163;20;Abitazioni civili;N;7;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'ESQUILINO (PIAZZA VITTORIO) ';B18;RM00000164;20;Abitazioni civili;N;24;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'SAN SABA (PIAZZA G.L. BERNINI)';B2;RM00000166;20;Abitazioni civili;N;10;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'LUDOVISI (VIA VENETO)';B25;RM00000170;20;Abitazioni civili;N;7;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'VIMINALE (VIA TORINO)';B29;RM00001064;20;Abitazioni civili;N;8;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'CELIO (VIA CLAUDIA)';B3;RM00000171;20;Abitazioni civili;N;9;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'C.STORICO:TRIDENTE(CAMPO MARZIO,COLONNA,PIGNA,TREVI)';B31;RM00003261;20;Abitazioni civili;N;0;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'C.STORICO:CORSO VITTORIO(PONTE,PARIONE,REGOLA,S.EUSTACHIO)';B32;RM00003264;20;Abitazioni civili;N;0;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;B;'MONTI (VIA DEI  SERPENTI)';B4;RM00000172;20;Abitazioni civili;N;8;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'PARIOLI (PIAZZA EUCLIDE)';C1;RM00000178;20;Abitazioni civili;N;19;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'GARBATELLA (LARGO DELLE SETTE CHIESE)';C10;RM00000119;20;Abitazioni civili;N;52;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'MARCONI (PIAZZA ENRICO FERMI)';C11;RM00000120;20;Abitazioni civili;N;29;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'MONTEVERDE VECCHIO (VIA POERIO)';C12;RM00000121;20;Abitazioni civili;N;13;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'MONTEVERDE NUOVO (VIA DI DONNA OLIMPIA)';C13;RM00000122;20;Abitazioni civili;N;31;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'AURELIO MONTE DI CRETA (PIAZZA IRNERIO)';C14;RM00000123;20;Abitazioni civili;N;33;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'AURELIO GREGORIO VII (VIA GREGORIO VII)';C15;RM00000124;20;Abitazioni civili;N;15;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'CAVALLEGGERI (VIA DELLE FORNACI)';C16;RM00000125;20;Abitazioni civili;N;15;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'BALDUINA GIOVENALE (VIA DELLE MEDAGLIE D`ORO)';C17;RM00000126;20;Abitazioni civili;N;34;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'CIPRO (VIA ANGELO EMO)';C18;RM00000127;20;Abitazioni civili;N;16;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'PONTE MILVIO-FARNESINA (VIA DELLA FARNESINA)';C19;RM00000128;20;Abitazioni civili;N;39;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'SALARIO (VIA NIZZA)';C2;RM00000179;20;Abitazioni civili;N;20;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'SALARIO AFRICANO (VIALE LIBIA)';C21;RM00000130;20;Abitazioni civili;N;42;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'BATTERIA NOMENTANA-LANCIANI (VIA COSTANTINO MAES)';C22;RM00000790;20;Abitazioni civili;N;21;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'BOLOGNA (VIA LIVORNO)';C24;RM00000792;20;Abitazioni civili;N;21;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'VILLAGGIO OLIMPICO (VIALE DE COUBERTIN)';C26;RM00000981;20;Abitazioni civili;N;38;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'PORTA PORTESE (VIA ETTORE ROLLI)';C27;RM00001066;20;Abitazioni civili;N;12;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'CASAL BERTONE-PORTONACCIO (VIA DI CASAL BERTONE)';C29;RM00001068;21;Abitazioni di tipo economico;N;47;
CENTRO;LAZIO;RM;12058091;M1AA; ;H501;ROMA;C;'PINCIANO (VIA GIOVANNI PAISIELLO)';C3;RM00000180;20;Abitazioni civili;N;19;
