Quotazioni Immobiliari : Valori di Mercato - Semestre 2025/1 - elaborazione del 05-MAR-26
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;20;Abitazioni civili;NORMALE;P;3200;3700;L;9,8;14,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;21;Abitazioni di tipo economico;NORMALE;P;2550;3400;L;7,2;9,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;13;Box;NORMALE;P;2550;3800;L;8,9;13,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;1;Ville e Villini;NORMALE;P;2950;4400;L;9,1;13,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;9;Magazzini;NORMALE;P;950;1900;L;4,5;9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;5;Negozi;NORMALE;P;2100;4000;L;15,5;25,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;6;Uffici;NORMALE;P;1800;3500;L;12;18;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B2;FI00000225;10;Laboratori;NORMALE;P;900;1800;L;4,3;8,6;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;20;Abitazioni civili;NORMALE;P;3600;5100;L;11;14,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;21;Abitazioni di tipo economico;NORMALE;P;3100;4300;L;8,8;12,2;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;13;Box;NORMALE;P;3000;4500;L;11,3;16,9;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;9;Magazzini;NORMALE;P;1400;2800;L;6,7;13,3;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;5;Negozi;NORMALE;P;3500;7000;L;26;48;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;6;Uffici;NORMALE;P;3000;4900;L;13;22,5;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B5;FI00001135;10;Laboratori;NORMALE;P;1200;2300;L;5,6;10,7;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B6;FI00001136;20;Abitazioni civili;NORMALE;P;3200;4200;L;11;15;L;
CENTRO;TOSCANA;FI;9048017;I1AA; ;D612;FIRENZE;B;B6;FI00001136;21;Abitazioni di tipo economico;NORMALE;P;2800;3700;L;8,9;11,7;L;
